Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),throttle (%),brake (%)
0,0,0,0,0,0,0,0,23.646804,0.0,0.0
0,0,0,0,0,0,0,0,23.696807,0.0,0.0
0,0,0,0,0,0,0,0,23.74681,0.0,0.0
0,0,0,0,0,0,0,0,23.796814,0.0,0.0
0,0,0,0,0,0,0,0,23.846817,0.0,0.0
0,0,0,0,0,0,0,0,23.896821,0.0,0.0
0,0,0,0,0,0,0,0,23.946825,0.0,0.0
0,0,0,0,0,0,0,0,23.996828,0.0,0.0
0,0,0,0,0,0,0,0,24.046831,0.0,0.0
0,0,0,0,0,0,0,0,24.096835,0.0,0.0
0,0,0,0,0,0,0,0,24.146839,0.0,0.0
0,0,0,0,0,0,0,0,24.196842,0.0,0.0
0,0,0,0,0,0,0,0,24.246846,0.0,0.0
0,0,0,0,0,0,0,0,24.296849,0.0,0.0
0,0,0,0,0,0,0,0,24.346853,0.0,0.0
0,0,0,0,0,0,0,0,24.396856,0.0,0.0
0,0,0,0,0,0,0,0,24.44686,0.0,0.0
0,0,0,0,0,0,0,0,24.496864,0.0,0.0
0,0,0,0,0,0,0,0,24.546867,0.0,0.0
0,0,0,0,0,0,0,0,24.596871,0.0,0.0
0,0,0,0,0,0,0,0,24.646874,0.0,0.0
0,0,0,0,0,0,0,0,24.696878,0.0,0.0
0,0,0,0,0,0,0,0,24.746881,0.0,0.0
0,0,0,0,0,0,0,0,24.796885,0.0,0.0
0,0,0,0,0,0,0,0,25.246917,0.0,0.0
0,0,0,0,0,0,0,0,25.296922,0.0,0.0
0,0,0,0,0,0,0,0,25.346924,0.0,0.0
0,0,0,0,0,0,0,0,25.396928,0.0,0.0
0,0,0,0,0,0,0,0,25.446931,0.0,0.0
0,0,0,0,0,0,0,0,25.496935,0.0,0.0
0,0,0,0,0,0,0,0,25.546938,0.0,0.0
0,0,0,0,0,0,0,0,25.596942,0.0,0.0
0,0,0,0,0,0,0,0,25.646945,0.0,0.0
0,0,0,0,0,0,0,0,25.696949,0.0,0.0
0,0,0,0,0,0,0,0,25.746953,0.0,0.0
0,0,0,0,0,0,0,0,25.796957,0.0,0.0
0,0,0,0,0,0,0,0,25.84696,0.0,0.0
0,0,0,0,0,0,0,0,25.896963,0.0,0.0
0,0,0,0,0,0,0,0,25.946967,0.0,0.0
0,0,0,0,0,0,0,0,25.996971,0.0,0.0
0,0,0,0,0,0,0,0,26.046975,0.0,0.0
0,0,0,0,0,0,0,0,28.947181,0.0,0.0
0,0,0,0,0,0,0,0,28.997184,0.0,0.0
0,0,0,0,0,0,0,0,29.047188,0.0,0.0
0,0,0,0,0,0,0,0,29.097192,0.0,0.0
0,0,0,0,0,0,0,0,29.147195,0.0,0.0
0,0,0,0,0,0,0,0,29.197199,0.0,0.0
0,0,0,0,0,0,0,0,29.247201,0.0,0.0
0,0,0,0,0,0,0,0,29.297206,0.0,0.0
0,0,0,0,0,0,0,0,29.347209,0.0,0.0
0,0,0,0,0,0,0,0,29.397214,0.0,0.0
0,0,0,0,0,0,0,0,29.447216,0.0,0.0
0,0,0,0,0,0,0,0,29.49722,0.0,0.0
0,0,0,0,0,0,0,0,29.547223,0.0,0.0
0,0,0,0,0,0,0,0,29.597227,0.0,0.0
0,0,0,0,0,0,0,0,29.64723,0.0,0.0
0,0,0,0,0,0,0,0,29.697234,0.0,0.0
0,0,0,0,0,0,0,0,29.747237,0.0,0.0
0,0,0,0,0,0,0,0,29.797241,0.0,0.0
0,0,0,0,0,0,0,0,29.847245,0.0,0.0
0,0,0,0,0,0,0,0,29.897248,0.0,0.0
0,0,0,0,0,0,0,0,29.947251,0.0,0.0
0,0,0,0,0,0,0,0,29.997255,0.0,0.0
0,0,0,0,0,0,0,0,30.047259,0.0,0.0
0,0,0,0,0,0,0,0,30.097263,0.0,0.0
0,0,0,0,0,0,0,0,30.147265,0.0,0.0
0,0,0,0,0,0,0,0,30.197269,0.0,0.0
0,0,0,0,0,0,0,0,30.247273,0.0,0.0
0,0,0,0,0,0,0,0,30.297277,0.0,0.0
0,0,0,0,0,0,0,0,30.34728,0.0,0.0
0,0,0,0,0,0,0,0,30.397284,0.0,0.0
0,0,0,0,0,0,0,0,30.447287,0.0,0.0
0,0,0,0,0,0,0,0,30.497291,0.0,0.0
0,0,0,0,0,0,0,0,30.547294,0.0,0.0
0,0,0,0,0,0,0,0,30.597298,0.0,0.0
0,0,0,0,0,0,0,0,30.647301,0.0,0.0
0,0,0,0,0,0,0,0,30.697305,0.0,0.0
0,0,0,0,0,0,0,0,30.747309,0.0,0.0
0,0,0,0,0,0,0,0,30.797312,0.0,0.0
0,0,0,0,0,0,0,0,30.847315,0.0,0.0
0,0,0,0,0,0,0,0,30.897319,0.0,0.0
0,0,0,0,0,0,0,0,30.947323,0.0,0.0
0,0,0,0,0,0,0,0,30.997326,0.0,0.0
eb,44,92,41,0,0,0,0,33.947527,110.0104939,0.0
ed,b3,94,41,0,0,0,0,33.997531,110.02644289999999,0.0
6d,59,91,41,0,0,0,0,34.047536,110.00446529999999,0.0
d7,31,6c,41,0,0,0,0,34.247551,109.76096869999999,0.0
9f,98,34,41,0,0,0,0,34.297555,109.3965983,0.0
c1,c9,74,40,0,0,0,0,34.39756,108.1395649,0.0
41,48,b6,3f,0,0,0,0,34.447565,106.8910657,0.0
0,0,0,0,0,0,0,0,34.497574,0.0,0.0
0,0,0,0,0,0,0,0,34.547578,0.0,0.0
0,0,0,0,0,0,0,0,34.597582,0.0,0.0
0,0,0,0,0,0,0,0,34.647585,0.0,0.0
0,0,0,0,0,0,0,0,34.697589,0.0,0.0
0,0,0,0,0,0,0,0,34.747593,0.0,0.0
0,0,0,0,0,0,0,0,34.797595,0.0,0.0
0,0,0,0,0,0,0,0,34.847599,0.0,0.0
0,0,0,0,0,0,0,0,34.897603,0.0,0.0
0,0,0,0,0,0,0,0,34.947607,0.0,0.0
0,0,0,0,0,0,0,0,34.997609,0.0,0.0
0,0,0,0,0,0,0,0,35.047614,0.0,0.0
0,0,0,0,0,0,0,0,35.097616,0.0,0.0
0,0,0,0,0,0,0,0,35.147621,0.0,0.0
0,0,0,0,0,0,0,0,35.197624,0.0,0.0
0,0,0,0,0,0,0,0,35.247627,0.0,0.0
0,0,0,0,0,0,0,0,35.297631,0.0,0.0
0,0,0,0,0,0,0,0,35.347634,0.0,0.0
0,0,0,0,0,0,0,0,35.397638,0.0,0.0
e7,25,76,3f,0,0,0,0,35.447633,106.4707559,0.0
0,0,0,0,0,0,0,0,35.497645,0.0,0.0
0,0,0,0,0,0,0,0,35.54765,0.0,0.0
0,0,0,0,0,0,0,0,35.597652,0.0,0.0
0,0,0,0,0,0,0,0,35.647656,0.0,0.0
0,0,0,0,0,0,0,0,35.69766,0.0,0.0
0,0,0,0,0,0,0,0,35.747662,0.0,0.0
0,0,0,0,0,0,0,0,35.797666,0.0,0.0
0,0,0,0,0,0,0,0,35.84767,0.0,0.0
0,0,0,0,0,0,0,0,35.897673,0.0,0.0
0,0,0,0,0,0,0,0,35.947678,0.0,0.0
0,0,0,0,0,0,0,0,35.997681,0.0,0.0
e8,70,9f,3f,0,0,0,0,36.047677,106.74137359999999,0.0
b3,3,e3,40,0,0,0,0,36.097682,108.86194429999999,0.0
a4,c1,28,41,0,0,0,0,36.147684,109.31900519999999,0.0
3f,6f,35,41,0,0,0,0,36.197688,109.4020927,0.0
47,38,56,41,0,0,0,0,36.24769,109.61695429999999,0.0
e0,95,81,41,0,0,0,0,36.297697,109.90115519999999,0.0
e8,97,94,41,0,0,0,0,36.347699,110.0257256,0.0
46,db,94,41,0,0,0,0,36.397702,110.02745019999999,0.0
8,7e,95,41,0,0,0,0,36.447707,110.0316168,0.0
a4,ff,80,41,0,0,0,0,36.49771,109.8973092,0.0
70,bb,7e,41,0,0,0,0,36.547713,109.88245599999999,0.0
16,a1,93,41,0,0,0,0,36.597717,110.019407,0.0
85,38,94,41,0,0,0,0,36.647719,110.0232837,0.0
54,fe,92,41,0,0,0,0,36.697724,110.0152404,0.0
31,6b,94,41,0,0,0,0,36.747728,110.02458089999999,0.0
d8,43,94,41,0,0,0,0,36.797732,110.02357359999999,0.0
7b,31,96,41,0,0,0,0,36.847735,110.0362107,0.0
cb,a9,8a,41,0,0,0,0,36.897736,109.9606475,0.0
2a,e0,91,41,0,0,0,0,36.947742,110.00791459999999,0.0
60,36,93,41,0,0,0,0,36.997745,110.0166752,0.0
9,fa,90,41,0,0,0,0,37.04775,110.00202329999999,0.0
fc,d6,92,41,0,0,0,0,37.097755,110.01423319999999,0.0
77,91,91,41,0,0,0,0,37.147754,110.00589989999999,0.0
51,5e,8e,41,0,0,0,0,37.197758,109.9849297,0.0
a8,9,93,41,0,0,0,0,37.247763,110.01553039999999,0.0
76,22,8f,41,0,0,0,0,37.297765,109.98995099999999,0.0
96,8,90,41,0,0,0,0,37.34777,109.9958422,0.0
38,c5,8f,41,0,0,0,0,37.397773,109.9941176,0.0
d,a7,8e,41,0,0,0,0,37.447776,109.9867917,0.0
bb,a,91,41,0,0,0,0,37.497779,110.0024507,0.0
80,f0,81,41,0,0,0,0,37.547785,109.90347519999999,0.0
8d,4c,8b,41,0,0,0,0,37.597786,109.9648141,0.0
71,51,88,41,0,0,0,0,37.747796,109.9452785,0.0
ff,83,90,41,0,0,0,0,37.797804,109.99900149999999,0.0
c5,42,91,41,0,0,0,0,37.847804,110.0038853,0.0
19,4e,91,41,0,0,0,0,37.897809,110.0041753,0.0
7e,ad,91,41,0,0,0,0,37.947812,110.0066174,0.0
6a,6e,93,41,0,0,0,0,37.997814,110.01810979999999,0.0
92,5b,92,41,0,0,0,0,38.047818,110.01107379999999,0.0
9f,c4,99,41,0,0,0,0,38.097822,110.05963829999999,0.0
d8,ba,a4,41,0,0,0,0,38.147826,110.1314776,0.0
42,86,93,41,0,0,0,0,38.197828,110.01872019999999,0.0
b7,d4,a3,41,0,0,0,0,38.247833,110.1255863,0.0
83,7e,98,41,0,0,0,0,38.297838,110.0512899,0.0
32,20,a0,41,0,0,0,0,38.347842,110.1013042,0.0
b9,8e,9a,41,0,0,0,0,38.397844,110.0648121,0.0
66,90,93,41,0,0,0,0,38.447845,110.0189798,0.0
88,23,92,41,0,0,0,0,38.497851,110.0096392,0.0
6f,13,88,41,0,0,0,0,38.547853,109.9436911,0.0
20,31,81,41,0,0,0,0,38.597861,109.89857599999999,0.0
be,6c,42,41,0,0,0,0,38.647861,109.4872254,0.0
24,d1,85,41,0,0,0,0,38.697864,109.9288868,0.0
15,32,5c,41,0,0,0,0,38.747869,109.65611729999999,0.0
14,32,8c,41,0,0,0,0,38.797872,109.97068999999999,0.0
20,9b,98,41,0,0,0,0,38.847876,110.0520224,0.0
33,8f,a2,41,0,0,0,0,38.89788,110.1172531,0.0
74,d2,b4,41,0,0,0,0,38.947882,110.2369396,0.0
d7,17,c8,41,0,0,0,0,38.997887,110.3632343,0.0
76,b8,c7,41,0,0,0,0,39.047889,110.3607926,0.0
85,c,c8,41,0,0,0,0,39.097894,110.3629445,0.0
50,b6,c6,41,0,0,0,0,39.147895,110.35418399999999,0.0
14,44,c5,41,0,0,0,0,39.1979,110.34470599999999,0.0
72,94,b9,41,0,0,0,0,39.247903,110.2681202,0.0
a,19,b9,41,0,0,0,0,39.297907,110.264961,0.0
88,d8,a7,41,0,0,0,0,39.347909,110.1518984,0.0
cf,a6,b2,41,0,0,0,0,39.397914,110.2227151,0.0
60,a0,af,41,0,0,0,0,39.447919,110.20288959999999,0.0
fd,7e,aa,41,0,0,0,0,39.497923,110.1692669,0.0
4,55,a1,41,0,0,0,0,39.547925,110.10920999999999,0.0
ae,25,93,41,0,0,0,0,39.597929,110.01624779999999,0.0
a0,8b,89,41,0,0,0,0,39.647932,109.9533216,0.0
f5,f3,7c,41,0,0,0,0,39.697936,109.87079569999999,0.0
54,b,8c,41,0,0,0,0,39.74794,109.969698,0.0
38,b8,96,41,0,0,0,0,39.797942,110.03966,0.0
fb,d6,a1,41,0,0,0,0,39.847946,110.1125371,0.0
16,63,98,41,0,0,0,0,39.89795,110.05058779999999,0.0
3a,1a,af,41,0,0,0,0,39.947954,110.19945539999999,0.0
46,52,aa,41,0,0,0,0,39.997956,110.1681222,0.0
93,c5,ae,41,0,0,0,0,40.047959,110.1972883,0.0
57,8c,bd,41,0,0,0,0,40.097964,110.2941271,0.0
1a,e4,c9,41,0,0,0,0,40.147968,110.375017,0.0
57,f6,d9,41,0,0,0,0,40.197971,110.4803415,0.0
87,e5,e6,41,0,0,0,0,40.247976,110.5651079,0.0
81,7e,f2,41,0,0,0,0,40.297978,110.64111369999999,0.0
79,f3,1,42,0,0,0,0,40.347982,110.7424121,0.0
ed,26,5,42,0,0,0,0,40.397984,110.7633901,0.0
8a,c7,4,42,0,0,0,0,40.447988,110.7609482,0.0
54,94,5,42,0,0,0,0,40.497992,110.76619079999999,0.0
57,60,3,42,0,0,0,0,40.547995,110.7517527,0.0
5c,7c,3,42,0,0,0,0,40.648002,110.75246999999999,0.0
cb,32,4,42,0,0,0,0,40.698005,110.75714029999999,0.0
19,3,4,42,0,0,0,0,40.74801,110.75591929999999,0.0
4c,9,3,42,0,0,0,0,40.798014,110.7495244,0.0
93,4e,0,42,0,0,0,0,40.848018,110.7316371,0.0
5c,5,f0,41,0,0,0,0,40.898022,110.6249052,0.0
13,e7,e2,41,0,0,0,0,40.948027,110.5389331,0.0
de,45,fc,41,0,0,0,0,40.998029,110.70519979999999,0.0
38,34,f1,41,0,0,0,0,41.048032,110.6326584,0.0
bc,2e,f9,41,0,0,0,0,41.098035,110.68494679999999,0.0
39,65,f3,41,0,0,0,0,41.148039,110.64702009999999,0.0
fc,90,ed,41,0,0,0,0,41.198041,110.6088188,0.0
45,14,ff,41,0,0,0,0,41.248046,110.72359089999999,0.0
60,1c,fb,41,0,0,0,0,41.298051,110.69758399999999,0.0
9,64,fd,41,0,0,0,0,41.348054,110.7125257,0.0
f4,b5,fc,41,0,0,0,0,41.398056,110.7080692,0.0
85,9a,f2,41,0,0,0,0,41.448058,110.64183089999999,0.0
65,c1,e0,41,0,0,0,0,41.498064,110.5248613,0.0
6c,1b,eb,41,0,0,0,0,41.548068,110.59270199999999,0.0
c,69,e8,41,0,0,0,0,41.59807,110.5750284,0.0
9f,7e,e5,41,0,0,0,0,41.648075,110.55591989999999,0.0
63,e8,da,41,0,0,0,0,41.698077,110.4865379,0.0
bd,f5,e3,41,0,0,0,0,41.748081,110.5458621,0.0
68,b9,e1,41,0,0,0,0,41.798083,110.53121039999999,0.0
ea,8f,e0,41,0,0,0,0,41.848089,110.5235946,0.0
bc,c4,e1,41,0,0,0,0,41.898091,110.5315004,0.0
81,9d,d9,41,0,0,0,0,41.948095,110.47806729999999,0.0
a7,23,df,41,0,0,0,0,41.998099,110.5142695,0.0
d4,1f,ea,41,0,0,0,0,42.048102,110.5862612,0.0
4,67,da,41,0,0,0,0,42.098107,110.483226,0.0
a7,73,c3,41,0,0,0,0,42.148107,110.3328167,0.0
c9,4c,c6,41,0,0,0,0,42.198112,110.35148249999999,0.0
1a,9e,c5,41,0,0,0,0,42.248116,110.34701059999999,0.0
1d,a3,ba,41,0,0,0,0,42.298119,110.27504929999999,0.0
