Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),FR susp (mm),FL susp (mm)
0,60,b8,44,0,0,18,43,34.848064,-115.89285714285715,18.57777777777778
0,80,a3,44,0,0,c3,43,34.898068,-102.77142857142857,47.66666666666667
0,60,9d,44,0,0,2b,43,34.948076,-98.92142857142856,20.9
0,40,a1,44,0,0,3f,43,34.998074,-101.35714285714285,23.344444444444445
0,60,c7,44,0,0,47,43,35.048076,-125.32142857142857,24.322222222222223
0,80,9e,44,0,0,31,43,35.098078,-99.62857142857143,21.633333333333333
0,a0,a2,44,0,0,30,43,35.148083,-102.22142857142858,21.511111111111113
0,40,ab,44,0,0,4e,43,35.198087,-107.64285714285714,25.177777777777777
0,80,aa,44,0,0,43,43,35.248089,-107.17142857142858,23.833333333333336
0,60,9b,44,0,0,27,43,35.298092,-97.66428571428573,20.41111111111111
0,e0,aa,44,0,0,3f,43,35.348098,-107.40714285714286,23.344444444444445
0,80,a6,44,0,0,35,43,35.398099,-104.65714285714286,22.12222222222222
0,20,9a,44,0,0,2e,43,35.448094,-96.87857142857142,21.266666666666666
0,c0,90,44,0,0,75,43,35.498105,-90.9857142857143,29.944444444444443
0,a0,b0,44,0,0,f8,42,35.548114,-111.02142857142857,15.155555555555555
0,40,9b,44,0,0,1e,43,35.598116,-97.58571428571429,19.31111111111111
0,80,d0,44,0,0,22,43,35.648119,-131.05714285714288,19.8
0,40,9d,44,0,0,2a,43,35.698121,-98.84285714285714,20.77777777777778
0,c0,9a,44,0,80,2d,44,35.748122,-97.27142857142857,84.82222222222222
0,60,9d,44,0,0,45,43,35.798129,-98.92142857142856,24.077777777777776
0,a0,9f,44,0,0,fc,42,35.848131,-100.33571428571429,15.400000000000002
0,c0,bb,44,0,0,42,43,35.898133,-118.01428571428572,23.711111111111112
0,0,a2,44,0,0,33,43,35.948142,-101.82857142857142,21.87777777777778
0,0,b3,44,0,0,c7,43,35.998143,-112.51428571428572,48.644444444444446
0,60,b5,44,0,0,1b,44,36.048139,-114.00714285714287,75.77777777777777
0,80,98,44,0,0,7,43,36.098145,-95.85714285714286,16.5
0,e0,df,44,0,0,6d,43,36.148147,-140.7214285714286,28.966666666666665
0,0,b1,44,0,0,38,43,36.198151,-111.25714285714285,22.48888888888889
0,e0,af,44,0,0,4b,43,36.248151,-110.54999999999998,24.811111111111114
0,80,99,44,0,0,2a,43,36.298158,-96.48571428571428,20.77777777777778
0,80,98,44,0,0,2b,43,36.348163,-95.85714285714286,20.9
0,20,97,44,0,0,2b,43,36.398164,-94.99285714285713,20.9
0,80,9c,44,0,0,37,43,36.448171,-98.37142857142857,22.366666666666667
0,e0,9b,44,0,0,1d,43,36.498175,-97.97857142857143,19.18888888888889
0,c0,ad,44,0,0,43,43,36.548174,-109.21428571428572,23.833333333333336
0,a0,a8,44,0,0,25,43,36.598181,-105.99285714285713,20.166666666666664
0,c0,a9,44,0,0,37,43,36.648181,-106.7,22.366666666666667
0,e0,95,44,0,0,29,43,36.69819,-94.20714285714286,20.655555555555555
0,e0,95,44,0,0,76,43,36.748189,-94.20714285714286,30.066666666666666
0,60,9b,44,0,0,29,43,36.798194,-97.66428571428573,20.655555555555555
0,80,ab,44,0,0,1f,43,36.8482,-107.8,19.433333333333334
0,20,93,44,0,0,2d,43,36.898197,-92.47857142857143,21.144444444444442
0,20,a5,44,0,0,4d,43,36.948203,-103.79285714285714,25.055555555555554
0,0,ac,44,0,0,67,43,36.998206,-108.11428571428571,28.23333333333333
0,0,a0,44,0,0,2a,43,37.048213,-100.57142857142857,20.77777777777778
0,20,a2,44,0,0,c4,43,37.098213,-101.90714285714286,47.91111111111111
0,20,b0,44,0,0,63,43,37.148213,-110.70714285714286,27.744444444444447
0,a0,b7,44,0,0,36,43,37.198222,-115.42142857142858,22.244444444444444
0,60,e4,44,0,0,56,43,37.248223,-143.54999999999998,26.155555555555555
0,20,b4,44,0,0,47,43,37.298227,-113.22142857142858,24.322222222222223
0,20,af,44,0,0,3b,43,37.348231,-110.07857142857142,22.855555555555558
0,80,9a,44,0,0,48,43,37.398234,-97.11428571428571,24.444444444444443
0,0,c6,44,0,0,3c,43,37.448239,-124.45714285714286,22.977777777777778
0,e0,9f,44,0,0,2d,43,37.498243,-100.49285714285715,21.144444444444442
0,c0,b9,44,0,0,44,43,37.548248,-116.75714285714285,23.955555555555556
0,20,93,44,0,0,30,43,37.59825,-92.47857142857143,21.511111111111113
0,60,a4,44,0,0,43,43,37.748256,-103.32142857142857,23.833333333333336
0,e0,a0,44,0,0,34,43,37.798265,-101.12142857142857,22.0
0,0,d8,44,0,0,1e,43,37.848267,-135.77142857142857,19.31111111111111
0,60,b1,44,0,0,45,43,37.898272,-111.49285714285715,24.077777777777776
0,80,b1,44,0,0,4a,43,37.948271,-111.57142857142857,24.68888888888889
0,0,ab,44,0,0,47,43,37.998276,-107.48571428571428,24.322222222222223
0,c0,ab,44,0,0,46,43,38.048279,-107.95714285714286,24.2
0,40,b7,44,0,0,46,43,38.098284,-115.18571428571428,24.2
0,60,ab,44,0,0,79,43,38.148286,-107.72142857142858,30.433333333333334
0,40,b7,44,0,80,89,43,38.198289,-115.18571428571428,33.611111111111114
0,0,c4,44,0,0,5c,43,38.248297,-123.20000000000002,26.88888888888889
0,0,b9,44,0,0,99,43,38.298299,-116.28571428571429,37.400000000000006
0,20,f3,44,0,0,3e,43,38.348305,-152.82142857142856,23.22222222222222
0,20,b3,44,0,0,3b,43,38.398306,-112.59285714285714,22.855555555555558
0,60,d1,44,0,0,60,43,38.448305,-131.60714285714286,27.377777777777776
0,40,b2,44,0,0,5a,43,38.498314,-112.04285714285713,26.644444444444446
0,40,c6,44,0,0,27,43,38.548316,-124.6142857142857,20.41111111111111
0,40,9f,44,0,0,3b,43,38.598324,-100.10000000000001,22.855555555555558
0,20,ab,44,0,0,4e,43,38.648322,-107.56428571428572,25.177777777777777
0,40,a8,44,0,0,4b,43,38.698325,-105.75714285714285,24.811111111111114
0,0,a5,44,0,0,43,43,38.748332,-103.71428571428571,23.833333333333336
0,20,b8,44,0,0,53,43,38.798336,-115.73571428571428,25.78888888888889
0,e0,ca,44,0,0,5,43,38.84834,-127.52142857142857,16.255555555555556
0,c0,a4,44,0,0,41,43,38.898343,-103.55714285714285,23.58888888888889
0,a0,b5,44,0,0,50,43,38.948347,-114.16428571428571,25.42222222222222
0,60,9b,44,0,0,40,43,38.998346,-97.66428571428573,23.466666666666665
0,20,99,44,0,0,3d,43,39.04835,-96.25,23.099999999999998
0,a0,a8,44,0,0,b1,43,39.098354,-105.99285714285713,43.266666666666666
0,c0,ab,44,0,0,4c,43,39.148357,-107.95714285714286,24.933333333333334
0,a0,a0,44,0,0,35,43,39.198367,-100.96428571428571,22.12222222222222
0,40,a8,44,0,0,49,43,39.248367,-105.75714285714285,24.566666666666666
0,0,c1,44,0,0,70,43,39.298372,-121.3142857142857,29.333333333333332
0,80,a8,44,0,80,82,43,39.348371,-105.91428571428571,31.9
0,c0,bb,44,0,0,4f,43,39.398374,-118.01428571428572,25.3
0,60,bf,44,0,0,7,43,39.448385,-120.29285714285714,16.5
0,c0,d6,44,0,0,4a,43,39.498386,-134.98571428571427,24.68888888888889
0,40,b2,44,0,0,4b,43,39.548386,-112.04285714285713,24.811111111111114
0,80,bd,44,0,0,5e,43,39.598389,-119.11428571428573,27.133333333333333
0,a0,c5,44,0,0,5a,43,39.648393,-124.22142857142856,26.644444444444446
0,c0,9c,44,0,0,41,43,39.698399,-98.52857142857142,23.58888888888889
0,e0,a6,44,0,0,97,43,39.7484,-104.89285714285715,36.91111111111111
