Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),steering (°),TI core temp (C)
de,19,d2,42,0,f0,1d,46,252.212745,-179.82160107906975,17.6367104
98,e1,d1,42,0,f0,1d,46,252.262747,-179.82401324651164,17.6367104
a9,c2,d2,42,0,f0,1d,46,252.312751,-179.8143657488372,17.6367104
23,52,d2,42,0,f0,1d,46,252.362755,-179.81918907906976,17.6367104
23,52,d2,42,0,f0,1d,46,252.412761,-179.81918907906976,17.6367104
23,52,d2,42,0,f0,1d,46,252.462762,-179.81918907906976,17.6367104
63,8a,d2,42,0,f0,1d,46,252.512766,-179.81677791627905,17.6367104
a9,c2,d2,42,0,f0,1d,46,252.562768,-179.8143657488372,17.6367104
a9,c2,d2,42,0,f0,1d,46,252.612772,-179.8143657488372,17.6367104
23,52,d2,42,0,f0,1d,46,252.662775,-179.81918907906976,17.6367104
de,19,d2,42,0,f0,1d,46,252.712781,-179.82160107906975,17.6367104
ee,fa,d2,42,0,f0,1d,46,252.762784,-179.81195374883723,17.6367104
3c,e7,cf,42,0,f0,1d,46,252.812788,-179.8457184,17.6367104
a9,c2,d2,42,0,f0,1d,46,252.862788,-179.8143657488372,17.6367104
a9,c2,d2,42,0,f0,1d,46,252.912789,-179.8143657488372,17.6367104
fa,db,d3,42,0,f0,1d,46,252.962798,-179.8023070883721,17.6367104
63,8a,d2,42,0,f0,1d,46,253.012797,-179.81677791627905,17.6367104
de,19,d2,42,0,f0,1d,46,253.062804,-179.82160107906975,17.6367104
7c,1f,d0,42,0,f0,1d,46,253.112808,-179.8433072372093,17.6367104
4,63,cc,42,0,f0,1d,46,253.16281,-179.88430638139533,17.6367104
cb,de,c8,42,0,f0,1d,46,253.212813,-179.92289453023255,17.6367104
7d,f2,b7,42,0,f0,1d,46,253.262818,-180.1085992744186,17.6367104
9,bd,98,42,0,f0,1d,46,253.312821,-180.4510681116279,17.6367104
4,99,60,42,0,f0,1d,46,253.362826,-181.0671264,17.6367104
5e,c,6,42,0,f0,1d,46,253.412829,-182.06076759069768,17.6367104
8,32,81,41,0,f0,1d,46,253.462834,-183.51862459534883,17.6367104
a9,88,6b,41,0,f0,1d,46,253.512835,-183.756327572093,17.6367104
b7,1d,7d,41,0,f0,1d,46,253.56284,-183.5633893395349,17.6367104
44,89,94,41,0,f0,1d,46,253.612842,-183.30638935813954,17.6367104
cd,26,ad,41,0,f0,1d,46,253.662846,-183.03627332093023,17.6367104
60,d2,b6,41,0,f0,1d,46,253.712849,-182.93015754418605,17.6367104
ef,c9,af,41,0,f0,1d,46,253.762853,-183.0073336744186,17.6367104
81,94,b8,41,0,f0,1d,46,253.812857,-182.91086271627907,17.6367104
27,4e,b3,41,0,f0,1d,46,253.862861,-182.96874569302324,17.6367104
95,a2,a9,41,0,f0,1d,46,253.912864,-183.0748613023256,17.6367104
d6,c,6f,41,0,f0,1d,46,253.962868,-183.71774143255814,17.6367104
bb,fa,ee,40,0,f0,1d,46,254.01287,-185.12312165581395,17.6367104
90,f9,13,c0,0,f0,1d,46,254.062874,172.05229573953488,17.6367104
58,ce,67,40,0,f0,1d,46,254.112876,-186.60644271627908,17.6367104
67,0,89,40,0,f0,1d,46,254.16288,-186.24217244651163,17.6367104
c6,79,21,40,0,f0,1d,46,254.212883,-187.37821071627906,17.6367104
90,a9,27,3f,0,f0,1d,46,254.262887,-190.1195296744186,17.6367104
e0,87,a6,3e,0,f0,1d,46,254.312893,-191.53655129302325,17.6367104
c0,2f,62,bf,0,f0,1d,46,254.362894,170.1013408744186,17.6367104
14,3d,4c,c0,0,f0,1d,46,254.412898,172.66970411162788,17.6367104
a3,ff,b6,c0,0,f0,1d,46,254.462903,173.84123168372093,17.6367104
77,93,56,c1,0,f0,1d,46,254.512904,175.59235004651157,17.6367104
5e,7c,95,c1,0,f0,1d,46,254.562908,176.2826885581395,17.6367104
b8,c2,9a,c1,0,f0,1d,46,254.61291,176.34057153488368,17.6367104
67,d6,c5,c1,0,f0,1d,46,254.662916,176.81327447441856,17.6367104
40,8d,a3,c1,0,f0,1d,46,254.712919,176.4370408186046,17.6367104
f,b8,3f,c1,0,f0,1d,46,254.762925,175.34152883720924,17.6367104
72,8a,86,c1,0,f0,1d,46,255.562978,176.11868997209308,17.6367104
3d,d9,92,c1,0,f0,1d,46,255.612979,176.25374907906973,17.6367104
24,44,81,c1,0,f0,1d,46,255.662985,176.0608090046511,17.6367104
d1,d9,5b,c1,0,f0,1d,46,255.712984,175.65023302325574,17.6367104
a7,dc,28,c1,0,f0,1d,46,255.762988,175.09070762790702,17.6367104
d4,60,2c,c1,0,f0,1d,46,255.812994,175.12929376744182,17.6367104
9e,af,38,c1,0,f0,1d,46,255.862996,175.26435270697675,17.6367104
88,ed,36,c1,0,f0,1d,46,255.912999,175.24505972093027,17.6367104
69,fe,44,c1,0,f0,1d,46,255.963004,175.39941181395352,17.6367104
e8,9b,5d,c1,0,f0,1d,46,256.013001,175.66952617674417,17.6367104
2f,25,82,c1,0,f0,1d,46,256.063008,176.0704554976744,17.6367104
61,4f,a5,c1,0,f0,1d,46,258.963211,176.45633564651166,17.6367104
26,f8,91,c1,0,f0,1d,46,259.013215,176.24410057674413,17.6367104
e2,a3,44,40,0,f0,1d,46,259.413241,-186.9923342511628,17.6367104
84,6c,d2,3f,0,f0,1d,46,259.463245,-188.2456831255814,17.6367104
e0,87,a6,3e,0,f0,1d,46,259.51325,-191.53655129302325,17.6367104
ea,1,1b,c0,0,f0,1d,46,259.563252,172.1294680186047,17.6367104
65,21,d3,c0,0,f0,1d,46,259.613254,174.14993586976743,17.6367104
4d,96,23,c1,0,f0,1d,46,259.663259,175.03282465116274,17.6367104
c8,ac,6b,c1,0,f0,1d,46,259.713262,175.82387810232558,17.6367104
42,e2,62,c1,0,f0,1d,46,259.763264,175.72740915348834,17.6367104
d4,60,2c,c1,0,f0,1d,46,259.81327,175.12929376744182,17.6367104
82,47,17,c1,0,f0,1d,46,259.863274,174.8977655441861,17.6367104
bf,29,da,c0,0,f0,1d,46,259.913276,174.22710814883726,17.6367104
73,b6,e4,c0,0,f0,1d,46,259.963279,174.3428741023256,17.6367104
46,32,e1,c0,0,f0,1d,46,260.013282,174.30428796279068,17.6367104
ec,ad,dd,c0,0,f0,1d,46,260.063285,174.26569428837206,17.6367104
2a,8c,c1,c0,0,f0,1d,46,260.113291,173.95699010232556,17.6367104
81,4b,f6,c0,0,f0,1d,46,260.163295,174.53581233488376,17.6367104
31,2e,2,c1,0,f0,1d,46,260.213298,174.66623748837208,17.6367104
b2,ea,69,c1,0,f0,1d,46,260.263298,175.804585116279,17.6367104
da,6,4c,c1,0,f0,1d,46,260.313298,175.476587944186,17.6367104
d0,83,ba,c0,0,f0,1d,46,260.363309,173.87981782325585,17.6367104
49,7b,b3,c0,0,f0,1d,46,260.413308,173.8026380093022,17.6367104
5a,d5,93,c0,0,f0,1d,46,260.463311,173.4553476837209,17.6367104
b1,94,c8,c0,0,f0,1d,46,260.513315,174.0341699162791,17.6367104
d6,5e,68,c0,0,f0,1d,46,260.563317,172.9784082976745,17.6367104
65,21,d3,c0,0,f0,1d,46,260.613322,174.14993586976743,17.6367104
46,32,e1,c0,0,f0,1d,46,260.663325,174.30428796279068,17.6367104
28,1,12,c1,0,f0,1d,46,260.713333,174.83988256744192,17.6367104
88,ed,36,c1,0,f0,1d,46,260.763332,175.24505972093027,17.6367104
b6,ef,8a,c1,0,f0,1d,46,260.813337,176.16692461395348,17.6367104
31,25,d2,c1,0,f0,1d,46,260.863333,176.9483334139535,17.6367104
29,f8,e1,c1,0,f0,1d,46,260.913343,177.12197866046517,17.6367104
23,71,c1,c1,0,f0,1d,46,260.963344,176.76503983255816,17.6367104
dd,38,ad,c1,0,f0,1d,46,261.013346,176.54315826976745,17.6367104
3a,33,c3,c1,0,f0,1d,46,261.06335,176.78433298604648,17.6367104
78,50,f,c2,0,f0,1d,46,261.113355,177.61957015813948,17.6367104
47,26,14,c2,0,f0,1d,46,261.163357,177.67262896744182,17.6367104
ea,58,3e,c2,0,f0,1d,46,261.213359,178.13568524651157,17.6367104
1c,83,61,c2,0,f0,1d,46,261.263366,178.52156539534872,17.6367104
be,49,bb,c1,0,f0,1d,46,263.913553,176.6975103627907,17.6367104
45,e7,83,c1,0,f0,1d,46,263.963556,176.08974848372088,17.6367104
22,f3,70,c1,0,f0,1d,46,264.01356,175.88176107906986,17.6367104
ba,17,5a,c1,0,f0,1d,46,264.06356,175.63093986976742,17.6367104
dc,8d,1c,c1,0,f0,1d,46,264.113564,174.95564852093014,17.6367104
1c,f7,af,c0,0,f0,1d,46,264.163572,173.7640518697674,17.6367104
dc,8d,1c,c1,0,f0,1d,46,264.463588,174.95564852093014,17.6367104
1d,4d,51,c1,0,f0,1d,46,264.513592,175.5344670697674,17.6367104
d6,5e,68,c0,0,f0,1d,46,265.163636,172.9784082976745,17.6367104
65,21,d3,c0,0,f0,1d,46,265.213638,174.14993586976743,17.6367104
2d,51,90,c0,0,f0,1d,46,265.263644,173.416761544186,17.6367104
90,f9,13,c0,0,f0,1d,46,265.313645,172.05229573953488,17.6367104
d0,b,ab,be,0,f0,1d,46,265.363651,168.09165544186033,17.6367104
4,58,5,40,0,f0,1d,46,265.413653,-187.68691490232558,17.6367104
e8,9e,e1,bf,0,f0,1d,46,265.463656,171.49973626046506,17.6367104
84,10,c5,c0,0,f0,1d,46,265.513655,173.99558377674418,17.6367104
ea,1,1b,c0,0,f0,1d,46,265.563659,172.1294680186047,17.6367104
c0,2f,62,bf,0,f0,1d,46,265.613662,170.1013408744186,17.6367104
12,69,13,40,0,f0,1d,46,265.663665,-187.5325552744186,17.6367104
72,4c,c8,40,0,f0,1d,46,265.71367,-185.54758426046513,17.6367104
12,a,2,41,0,f0,1d,46,265.763677,-184.9139681860465,17.6367104
ea,42,8f,41,0,f0,1d,46,265.813676,-183.3642723348837,17.6367104
62,a5,c6,41,0,f0,1d,46,265.863677,-182.75651062325582,17.6367104
c2,72,ec,41,0,f0,1d,46,265.913683,-182.34168881860464,17.6367104
8c,9,11,42,0,f0,1d,46,265.963686,-181.94018031627905,17.6367104
c3,60,4c,42,0,f0,1d,46,266.01369,-181.28900712558138,17.6367104
24,7f,86,42,0,f0,1d,46,266.063695,-180.65124368372093,17.6367104
f4,54,9f,42,0,f0,1d,46,266.113697,-180.37871531162793,17.6367104
84,4c,ac,42,0,f0,1d,46,266.163699,-180.23642187906975,17.6367104
c1,57,bc,42,0,f0,1d,46,266.213709,-180.06036463255813,17.6367104
fa,db,d3,42,0,f0,1d,46,266.713743,-179.8023070883721,17.6367104
23,52,d2,42,0,f0,1d,46,266.763744,-179.81918907906976,17.6367104
58,a9,d1,42,0,f0,1d,46,266.863752,-179.82642440930232,17.6367104
de,19,d2,42,0,f0,1d,46,266.913754,-179.82160107906975,17.6367104
98,e1,d1,42,0,f0,1d,46,267.063764,-179.82401324651164,17.6367104
23,52,d2,42,0,f0,1d,46,267.113768,-179.81918907906976,17.6367104
a9,c2,d2,42,0,f0,1d,46,267.163771,-179.8143657488372,17.6367104
63,8a,d2,42,0,f0,1d,46,267.213775,-179.81677791627905,17.6367104
58,a9,d1,42,0,f0,1d,46,267.26378,-179.82642440930232,17.6367104
2e,33,d3,42,0,f0,1d,46,267.313784,-179.80954258604652,17.6367104
98,e1,d1,42,0,f0,1d,46,267.363789,-179.82401324651164,17.6367104
23,52,d2,42,0,f0,1d,46,267.41379,-179.81918907906976,17.6367104
de,19,d2,42,0,f0,1d,46,267.463794,-179.82160107906975,17.6367104
3c,e7,cf,42,0,f0,1d,46,267.513798,-179.8457184,17.6367104
2b,6,cf,42,0,f0,1d,46,267.563803,-179.85536589767443,17.6367104
2b,6,cf,42,0,f0,1d,46,267.613807,-179.85536589767443,17.6367104
38,ba,cb,42,0,f0,1d,46,267.663809,-179.89154187906976,17.6367104
e0,46,c2,42,0,f0,1d,46,267.713812,-179.99524733023256,17.6367104
76,98,af,42,0,f0,1d,46,267.763816,-180.2002460651163,17.6367104
72,6b,97,42,0,f0,1d,46,267.813819,-180.46553893953487,17.6367104
55,b2,75,42,0,f0,1d,46,267.863822,-180.83559834418602,17.6367104
26,b5,42,42,0,f0,1d,46,267.913826,-181.39512457674417,17.6367104
5b,df,15,42,0,f0,1d,46,267.963829,-181.88712150697674,17.6367104
fd,7d,c0,41,0,f0,1d,46,268.013836,-182.82404009302326,17.6367104
f2,1a,10,41,0,f0,1d,46,268.063838,-184.7596162604651,17.6367104
20,82,28,40,0,f0,1d,46,268.113841,-187.30103843720931,17.6367104
67,0,89,40,0,f0,1d,46,268.163844,-186.24217244651163,17.6367104
f0,b4,52,40,0,f0,1d,46,268.213848,-186.8379746232558,17.6367104
61,f2,e7,40,0,f0,1d,46,268.263852,-185.20029393488372,17.6367104
82,12,9,41,0,f0,1d,46,268.313855,-184.8367922232558,17.6367104
70,51,e3,be,0,f0,1d,46,268.713883,168.70915423255815,17.6367104
5a,d5,93,c0,0,f0,1d,46,268.763886,173.4553476837209,17.6367104
84,10,c5,c0,0,f0,1d,46,268.813889,173.99558377674418,17.6367104
bf,29,da,c0,0,f0,1d,46,268.863892,174.22710814883726,17.6367104
65,21,d3,c0,0,f0,1d,46,268.913895,174.14993586976743,17.6367104
74,b2,5,c1,0,f0,1d,46,268.963899,174.70482731162792,17.6367104
64,58,25,c1,0,f0,1d,46,269.013903,175.05211780465117,17.6367104
69,fe,44,c1,0,f0,1d,46,269.063907,175.39941181395352,17.6367104
4a,f,53,c1,0,f0,1d,46,269.113911,175.55376390697666,17.6367104
ba,17,5a,c1,0,f0,1d,46,269.163912,175.63093986976742,17.6367104
48,ba,93,c1,0,f0,1d,46,269.213915,176.26339557209303,17.6367104
e8,19,ae,c1,0,f0,1d,46,269.263921,176.55280476279074,17.6367104
10,36,90,c1,0,f0,1d,46,269.313925,176.22480759069765,17.6367104
ee,73,8e,c1,0,f0,1d,46,269.363926,176.20551259534886,17.6367104
ed,41,7d,c1,0,f0,1d,46,269.413931,176.01682018604652,17.6367104
d1,d9,5b,c1,0,f0,1d,46,269.463933,175.65023302325574,17.6367104
8e,55,58,c1,0,f0,1d,46,269.513936,175.6116431999999,17.6367104
4a,f,53,c1,0,f0,1d,46,269.563942,175.55376390697666,17.6367104
96,82,48,c1,0,f0,1d,46,269.613946,175.43799795348832,17.6367104
77,93,56,c1,0,f0,1d,46,269.663946,175.59235004651157,17.6367104
3c,3c,43,c1,0,f0,1d,46,269.713953,175.38011497674415,17.6367104
be,9e,2a,c1,0,f0,1d,46,269.763955,175.11000078139534,17.6367104
e5,ba,c,c1,0,f0,1d,46,269.813959,174.7820034418604,17.6367104
48,f0,3,c1,0,f0,1d,46,269.863961,174.6855306418605,17.6367104
46,32,e1,c0,0,f0,1d,46,269.913957,174.30428796279068,17.6367104
54,c7,f2,c0,0,f0,1d,46,269.963966,174.49722619534884,17.6367104
54,c7,f2,c0,0,f0,1d,46,270.013971,174.49722619534884,17.6367104
e5,ba,c,c1,0,f0,1d,46,270.063976,174.7820034418604,17.6367104
fc,7c,e,c1,0,f0,1d,46,270.11398,174.80129659534884,17.6367104
c6,cb,1a,c1,0,f0,1d,46,270.263987,174.93635553488366,17.6367104
f,b8,3f,c1,0,f0,1d,46,270.313994,175.34152883720924,17.6367104
d1,d9,5b,c1,0,f0,1d,46,270.363993,175.65023302325574,17.6367104
69,fe,44,c1,0,f0,1d,46,270.414,175.39941181395352,17.6367104
1d,4d,51,c1,0,f0,1d,46,270.464002,175.5344670697674,17.6367104
da,6,4c,c1,0,f0,1d,46,270.514004,175.476587944186,17.6367104
4,4,7f,c1,0,f0,1d,46,270.56401,176.03611333953495,17.6367104
7,9,a0,c1,0,f0,1d,46,270.614013,176.3984526697675,17.6367104
64,4f,f5,c1,0,f0,1d,46,270.664017,177.3342137302326,17.6367104
ab,7a,32,c2,0,f0,1d,46,270.714018,178.00545047441858,17.6367104
42,cc,5b,c2,0,f0,1d,46,270.764016,178.4588600930232,17.6367104
8a,5e,78,c2,0,f0,1d,46,270.814023,178.7723876093023,17.6367104
bc,91,8b,c2,0,f0,1d,46,270.864022,178.9830780279069,17.6367104
0,ca,9f,c2,0,f0,1d,46,270.914029,179.20495925581395,17.6367104
f3,15,b7,c2,0,f0,1d,46,270.964031,179.4606046325581,17.6367104
79,86,cb,c2,0,f0,1d,46,271.014033,179.68489735813955,17.6367104
5e,c4,dd,c2,0,f0,1d,46,271.064038,179.88507293023258,17.6367104
67,4b,ea,c2,0,f0,1d,46,271.114046,180.0225428651163,17.6367104
a7,56,fa,c2,0,f0,1d,46,271.16405,180.19860061395343,17.6367104
1e,b9,f5,c2,0,f0,1d,46,271.214054,180.14795397209298,17.6367104
dd,ad,f9,c2,0,f0,1d,46,271.264056,180.19136545116282,17.6367104
d,c6,2,c3,0,f0,1d,46,271.31406,180.29116347906984,17.6367104
2,12,6,c3,0,f0,1d,46,271.764089,180.32733979534885,17.6367104
bf,d9,5,c3,0,f0,1d,46,271.814096,180.3249281302326,17.6367104
e3,22,0,c3,0,f0,1d,46,272.314127,180.26222249302327,17.6367104
d8,53,f1,c2,0,f0,1d,46,272.364131,180.09971899534878,17.6367104
c0,eb,e3,c2,0,f0,1d,46,272.414138,179.9526018976743,17.6367104
5,24,d0,c2,0,f0,1d,46,272.464137,179.73554450232552,17.6367104
7c,b3,bb,c2,0,f0,1d,46,272.514141,179.51125127441856,17.6367104
b0,dd,a2,c2,0,f0,1d,46,272.564147,179.23872357209302,17.6367104
cc,69,74,c2,0,f0,1d,46,272.614148,178.72897629767442,17.6367104
ae,a7,22,c2,0,f0,1d,46,272.664151,177.83180439069758,17.6367104
42,8d,f3,c1,0,f0,1d,46,272.714159,177.3149187348837,17.6367104
56,9b,e4,c1,0,f0,1d,46,272.764161,177.15092014883726,17.6367104
a,9,f0,c1,0,f0,1d,46,272.814167,177.2763307534883,17.6367104
b0,d4,12,c2,0,f0,1d,46,272.864168,177.65815813953486,17.6367104
d1,c3,2c,c2,0,f0,1d,46,272.914169,177.94274517209305,17.6367104
8a,31,38,c2,0,f0,1d,46,272.964173,178.06815661395342,17.6367104
53,7,3d,c2,0,f0,1d,46,273.014176,178.12121441860472,17.6367104
6e,6f,36,c2,0,f0,1d,46,273.064181,178.0488626232558,17.6367104
ae,a7,22,c2,0,f0,1d,46,273.114183,177.83180439069758,17.6367104
7f,aa,17,c2,0,f0,1d,46,273.164189,177.7112169488371,17.6367104
66,15,6,c2,0,f0,1d,46,273.21419,177.5182768744187,17.6367104
59,22,b5,c1,0,f0,1d,46,273.264194,176.62998089302323,17.6367104
f6,6e,6d,c1,0,f0,1d,46,273.314199,175.8431751069768,17.6367104
f6,6e,6d,c1,0,f0,1d,46,273.364202,175.8431751069768,17.6367104
f6,6e,6d,c1,0,f0,1d,46,273.414206,175.8431751069768,17.6367104
66,77,74,c1,0,f0,1d,46,273.464209,175.92035106976743,17.6367104
7c,39,76,c1,0,f0,1d,46,273.514215,175.93964405581391,17.6367104
9f,2d,89,c1,0,f0,1d,46,273.564217,176.14763146046505,17.6367104
1b,17,91,c1,0,f0,1d,46,273.614219,176.23445408372095,17.6367104
b8,c2,9a,c1,0,f0,1d,46,273.664221,176.34057153488368,17.6367104
c4,a3,9b,c1,0,f0,1d,46,273.714226,176.35021819534882,17.6367104
c4,a3,9b,c1,0,f0,1d,46,273.764229,176.35021819534882,17.6367104
e3,92,8d,c1,0,f0,1d,46,273.814234,176.19586610232557,17.6367104
9f,2d,89,c1,0,f0,1d,46,273.864238,176.14763146046505,17.6367104
4,4,7f,c1,0,f0,1d,46,273.914243,176.03611333953495,17.6367104
3c,3c,43,c1,0,f0,1d,46,273.964247,175.38011497674415,17.6367104
73,b6,e4,c0,0,f0,1d,46,274.014246,174.3428741023256,17.6367104
c8,4d,5a,c0,0,f0,1d,46,274.064249,172.82404866976742,17.6367104
c8,4d,5a,c0,0,f0,1d,46,274.114253,172.82404866976742,17.6367104
5a,d5,93,c0,0,f0,1d,46,274.164258,173.4553476837209,17.6367104
81,4b,f6,c0,0,f0,1d,46,274.214262,174.53581233488376,17.6367104
a0,3a,e8,c0,0,f0,1d,46,274.264264,174.3814602418604,17.6367104
b,9d,cf,c0,0,f0,1d,46,274.314269,174.1113421953488,17.6367104
b,9d,cf,c0,0,f0,1d,46,274.364272,174.1113421953488,17.6367104
92,a5,d6,c0,0,f0,1d,46,274.414273,174.18852200930223,17.6367104
8a,6f,76,c0,0,f0,1d,46,274.464276,173.13275285581392,17.6367104
8a,6f,76,c0,0,f0,1d,46,274.514281,173.13275285581392,17.6367104
c8,4d,5a,c0,0,f0,1d,46,274.564283,172.82404866976742,17.6367104
8a,6f,76,c0,0,f0,1d,46,274.614287,173.13275285581392,17.6367104
79,c4,85,c0,0,f0,1d,46,274.664288,173.30099559069765,17.6367104
c2,ee,a8,c0,0,f0,1d,46,274.714294,173.68687959069769,17.6367104
87,59,97,c0,0,f0,1d,46,274.764301,173.49393382325582,17.6367104
e,62,9e,c0,0,f0,1d,46,274.814302,173.57111363720924,17.6367104
30,67,6f,c0,0,f0,1d,46,274.864306,173.0555805767442,17.6367104
6e,45,53,c0,0,f0,1d,46,274.914303,172.7468763906977,17.6367104
c8,4d,5a,c0,0,f0,1d,46,274.964311,172.82404866976742,17.6367104
31,2e,2,c1,0,f0,1d,46,275.014316,174.66623748837208,17.6367104
a6,48,89,c0,0,f0,1d,46,275.064319,173.33958173023257,17.6367104
79,c4,85,c0,0,f0,1d,46,275.114321,173.30099559069765,17.6367104
9c,af,ef,bf,0,f0,1d,46,275.164323,171.6540808186047,17.6367104
88,eb,29,bf,0,f0,1d,46,275.214324,169.48390236279067,17.6367104
20,8a,5c,3e,0,f0,1d,46,275.26433,-192.34849160930233,17.6367104
12,69,13,40,0,f0,1d,46,275.31433,-187.5325552744186,17.6367104
d4,8a,2f,40,0,f0,1d,46,275.364331,-187.2238510883721,17.6367104
28,cc,3,41,0,f0,1d,46,275.414337,-184.89467520000002,17.6367104
d0,a4,4d,41,0,f0,1d,46,275.46434,-184.08432491162793,17.6367104
cb,de,b4,42,0,f0,1d,46,275.864368,-180.14236392558138,17.6367104
12,71,bd,42,0,f0,1d,46,275.914373,-180.048305972093,17.6367104
23,52,d2,42,0,f0,1d,46,276.564421,-179.81918907906976,17.6367104
58,a9,d1,42,0,f0,1d,46,276.614424,-179.82642440930232,17.6367104
58,a9,d1,42,0,f0,1d,46,277.16446,-179.82642440930232,17.6367104
b,bd,d4,42,0,f0,1d,46,277.214466,-179.79265959069767,17.6367104
98,e1,d1,42,0,f0,1d,46,277.264468,-179.82401324651164,17.6367104
47,c8,d0,42,0,f0,1d,46,277.314472,-179.83607190697674,17.6367104
d2,38,d1,42,0,f0,1d,46,277.364477,-179.8312477395349,17.6367104
f6,ae,cf,42,0,f0,1d,46,277.414479,-179.84813056744184,17.6367104
20,25,ce,42,0,f0,1d,46,277.464484,-179.86501239069767,17.6367104
54,7c,cd,42,0,f0,1d,46,277.514487,-179.8722478883721,17.6367104
ba,fd,c7,42,0,f0,1d,46,277.564491,-179.93254202790698,17.6367104
46,c8,bc,42,0,f0,1d,46,277.614492,-180.05554146976743,17.6367104
22,52,aa,42,0,f0,1d,46,277.664498,-180.2581280372093,17.6367104
87,a6,8c,42,0,f0,1d,46,277.714499,-180.58371454883724,17.6367104
6c,ed,56,42,0,f0,1d,46,277.764504,-181.17324301395348,17.6367104
e5,7c,2e,42,0,f0,1d,46,277.814508,-181.6170053023256,17.6367104
8,f3,18,42,0,f0,1d,46,277.86451,-181.85335769302324,17.6367104
c8,ba,4,42,0,f0,1d,46,277.914516,-182.07523825116277,17.6367104
6e,86,c7,41,0,f0,1d,46,277.964519,-182.7468639627907,17.6367104
5a,4b,96,41,0,f0,1d,46,278.014521,-183.287096372093,17.6367104
9,dd,11,41,0,f0,1d,46,278.064528,-184.74032310697675,17.6367104
a0,8e,ee,3f,0,f0,1d,46,278.114529,-187.93696386976742,17.6367104
a0,8e,ee,3f,0,f0,1d,46,278.164533,-187.93696386976742,17.6367104
c,df,75,40,0,f0,1d,46,278.214538,-186.45209815813953,17.6367104
45,2f,f4,c2,0,f0,1d,46,281.014727,180.1310716465116,17.6367104
7d,b3,f7,c2,0,f0,1d,46,281.064734,180.16965962790698,17.6367104
66,4b,fe,c2,0,f0,1d,46,281.114734,180.24201209302316,17.6367104
40,d5,ff,c2,0,f0,1d,46,281.164741,180.2588945860465,17.6367104
95,36,3,c3,0,f0,1d,46,281.214744,180.29598714418603,17.6367104
8,6c,4,c3,0,f0,1d,46,281.264746,180.3092517209302,17.6367104
2f,e2,2,c3,0,f0,1d,46,281.31475,180.29236939534883,17.6367104
5f,df,3,c3,0,f0,1d,46,281.614771,180.30322230697675,17.6367104
8f,dc,4,c3,0,f0,1d,46,281.664776,180.31407521860467,17.6367104
4b,a4,4,c3,0,f0,1d,46,281.764779,180.31166338604646,17.6367104
d7,de,cc,c1,0,f0,1d,46,282.564836,176.89045043720932,17.6367104
a2,2d,d9,c1,0,f0,1d,46,282.614838,177.0255095441861,17.6367104
bb,c2,ea,c1,0,f0,1d,46,282.664841,177.21844961860472,17.6367104
37,ac,f2,c1,0,f0,1d,46,282.714847,177.3052722418604,17.6367104
64,4f,f5,c1,0,f0,1d,46,282.764849,177.3342137302326,17.6367104
d4,57,fc,c1,0,f0,1d,46,282.814855,177.41138969302324,17.6367104
2c,cb,f1,c1,0,f0,1d,46,282.864858,177.29562574883732,17.6367104
6a,a9,d5,c1,0,f0,1d,46,282.914859,176.9869215627907,17.6367104
6c,30,a6,c1,0,f0,1d,46,282.964863,176.46598213953496,17.6367104
8e,f2,a7,c1,0,f0,1d,46,283.014867,176.48527713488363,17.6367104
40,8d,a3,c1,0,f0,1d,46,283.064871,176.4370408186046,17.6367104
5e,7c,95,c1,0,f0,1d,46,283.114874,176.2826885581395,17.6367104
3a,6,83,c1,0,f0,1d,46,283.16488,176.08010199069759,17.6367104
3a,6,83,c1,0,f0,1d,46,283.214883,176.08010199069759,17.6367104
eb,ec,bd,c1,0,f0,1d,46,283.264884,176.7264518511629,17.6367104
8c,1f,98,c1,0,f0,1d,46,283.314888,176.31163021395355,17.6367104
ea,22,2e,c1,0,f0,1d,46,283.36489,175.1485867534883,17.6367104
f3,4f,1e,c1,0,f0,1d,46,283.414893,174.97494167441857,17.6367104
82,47,17,c1,0,f0,1d,46,283.464898,174.8977655441861,17.6367104
a0,3a,e8,c0,0,f0,1d,46,283.514901,174.3814602418604,17.6367104
1a,6c,0,c1,0,f0,1d,46,283.564907,174.64694433488376,17.6367104
2d,51,90,c0,0,f0,1d,46,283.614909,173.416761544186,17.6367104
80,8d,d3,bf,0,f0,1d,46,283.664912,171.34536156279057,17.6367104
fc,49,9b,bf,0,f0,1d,46,283.714916,170.7279531906977,17.6367104
82,e8,5,c0,0,f0,1d,46,283.764919,171.8979361116278,17.6367104
9c,af,ef,bf,0,f0,1d,46,283.814924,171.6540808186047,17.6367104
ba,34,45,c0,0,f0,1d,46,283.864924,172.59253183255805,17.6367104
79,c4,85,c0,0,f0,1d,46,283.914926,173.30099559069765,17.6367104
28,1,12,c1,0,f0,1d,46,283.964934,174.83988256744192,17.6367104
9c,28,68,c1,0,f0,1d,46,284.014935,175.7852921302325,17.6367104
4a,f,53,c1,0,f0,1d,46,284.06494,175.55376390697666,17.6367104
b5,71,3a,c1,0,f0,1d,46,284.114942,175.28364586046507,17.6367104
be,9e,2a,c1,0,f0,1d,46,284.164947,175.11000078139534,17.6367104
a2,36,9,c1,0,f0,1d,46,284.214949,174.74341361860456,17.6367104
a0,3a,e8,c0,0,f0,1d,46,284.264953,174.3814602418604,17.6367104
